artist,title,year,source_rank
Paul McCartney,Chaos and Creation in the Backyard,2006,240
Mariah Carey,The Emancipation of Mimi,2006,241
Kanye West,Late Registration,2006,242
Gwen Stefani,Love. Angel. Music. Baby.,2006,243
Dixie Chicks,Taking the Long Way,2007,244
John Mayer,Continuum,2007,245
Justin Timberlake,FutureSex/LoveSounds,2007,246
Gnarls Barkley,St. Elsewhere,2007,247
Red Hot Chili Peppers,Stadium Arcadium,2007,248
Herbie Hancock,River: The Joni Letters,2008,249
Amy Winehouse,Back to Black,2008,250
Foo Fighters,"Echoes, Silence, Patience & Grace",2008,251
Kanye West,Graduation,2008,252
Vince Gill,These Days,2008,253
Robert Plant&Alison Krauss,Raising Sand,2009,254
Radiohead,In Rainbows,2009,255
Lil Wayne,Tha Carter III,2009,256
Coldplay,Viva la Vida or Death and All His Friends,2009,257
Ne-Yo,Year of the Gentleman,2009,258
Taylor Swift,Fearless,2010,259
Dave Matthews Band,Big Whiskey & the GrooGrux King,2010,260
Black Eyed Peas,The E.N.D.,2010,261
Lady Gaga,The Fame,2010,262
Beyoncé,I Am... Sasha Fierce,2010,263
Arcade Fire,The Suburbs,2011,264
Lady Gaga,The Fame Monster,2011,265
Lady Antebellum,Need You Now,2011,266
Eminem,Recovery,2011,267
Katy Perry,Teenage Dream,2011,268
Adele,21,2012,269
Lady Gaga,Born This Way,2012,270
Bruno Mars,Doo-Wops & Hooligans,2012,271
Rihanna,Loud,2012,272
Foo Fighters,Wasting Light,2012,273
Mumford & Sons,Babel,2013,274
Jack White,Blunderbuss,2013,275
Frank Ocean,Channel Orange,2013,276
The Black Keys,El Camino,2013,277
Fun.,Some Nights,2013,278
Daft Punk,Random Access Memories,2014,279
Sara Bareilles,The Blessed Unrest,2014,280
Kendrick Lamar,"Good Kid, M.A.A.D City",2014,281
Macklemore & Ryan Lewis,The Heist,2014,282
Taylor Swift,Red,2014,283
Beck,Morning Phase,2015,284
Beyoncé,Beyoncé,2015,285
Pharrell Williams,Girl,2015,286
Sam Smith,In the Lonely Hour,2015,287
Ed Sheeran,x,2015,288
Taylor Swift,1989,2016,289
The Weeknd,Beauty Behind the Madness,2016,290
Alabama Shakes,Sound & Color,2016,291
Kendrick Lamar,To Pimp a Butterfly,2016,292
Chris Stapleton,Traveller,2016,293
Adele,25,2017,294
Beyoncé,Lemonade,2017,295
Justin Bieber,Purpose,2017,296
Sturgill Simpson,A Sailor's Guide to Earth,2017,297
Drake,Views,2017,298
Bruno Mars,24K Magic,2018,299
Childish Gambino,"""Awaken, My Love!""",2018,300
Kendrick Lamar,Damn.,2018,301
Jay-Z,4:44,2018,302
Lorde,Melodrama,2018,303
Kacey Musgraves,Golden Hour,2019,304
Post Malone,Beerbongs & Bentleys,2019,305
Various Artists,"Black Panther: The Album, Music from and Inspired By",2019,306
Brandi Carlile,"By the Way, I Forgive You",2019,307
Janelle Monáe,Dirty Computer,2019,308
H.E.R.,H.E.R.,2019,309
Cardi B,Invasion of Privacy,2019,310
Drake,Scorpion,2019,311
Billie Eilish,"When We All Fall Asleep, Where Do We Go?",2020,312
Lizzo,Cuz I Love You(Deluxe),2020,313
Vampire Weekend,Father of the Bride,2020,314
Bon Iver,"I, I",2020,315
H.E.R.,I Used to Know Her,2020,316
Lana Del Rey,Norman Fucking Rockwell!,2020,317
Lil Nas X,7,2020,318
Ariana Grande,"Thank U, Next",2020,319
Taylor Swift,Folklore,2021,320
Black Pumas,Black Pumas (Deluxe Edition),2021,321
Jhené Aiko,Chilombo,2021,322
Jacob Collier,Djesse Vol. 3,2021,323
Coldplay,Everyday Life,2021,324
Dua Lipa,Future Nostalgia,2021,325
Post Malone,Hollywood's Bleeding,2021,326
Haim,Women in Music Pt. III,2021,327
Jon Batiste,We Are,2022,328
H.E.R.,Back of My Mind,2022,329
Kanye West,Donda,2022,330
Taylor Swift,Evermore,2022,331
Billie Eilish,Happier Than Ever,2022,332
